Film_title,Release_year,Director,Cast,Average_rating,Owner_rating,Genres,Runtime,Countries,Original_language,Spoken_languages,Description,Studios,Watches,List_appearances,Likes,Fans,½,★,★½,★★,★★½,★★★,★★★½,★★★★,★★★★½,★★★★★,Total_ratings,Film_URL
Pierrot le Fou,nan,Jean-Luc Godard,"['Jean-Paul Belmondo', 'Anna Karina', 'Graziella Galvani', 'Aicha Abadir', 'Henri Attal', 'Pascal Aubier', 'Maurice Auzel', 'Raymond Devos', 'Roger Dutoit', 'Samuel Fuller', 'Pierre Hanin', 'Jimmy Karoubi', 'Jean-Pierre Léaud', 'Hans Meyer', 'Krista Nell', 'Dirk Sanders', 'Georges Staquet', 'László Szabó', 'Dominique Zardi']",4.04,nan,"['Romance', 'Crime', 'Drama']",110,"['France', 'Italy']",French,"['French', 'English', 'Italian']","Pierrot escapes his boring society and travels from Paris to the Mediterranean Sea with Marianne, a girl chased by hit-men from Algeria. They lead an unorthodox life, always on the run.","['DDL Cinematografica', 'Rome-Paris Films', 'SNC', 'Films Georges de Beauregard']",180938,73267,59620,4900,367,822,779,2905,3917,12570,17418,35940,18258,26193,119169,https://letterboxd.com/film/pierrot-le-fou/
Vivre Sa Vie,nan,Jean-Luc Godard,"['Anna Karina', 'Sady Rebbot', 'André S. Labarthe', 'Guylaine Schlumberger', 'Gérard Hoffmann', 'Monique Messine', 'Paul Pavel', 'Dimitri Dineff', 'Peter Kassovitz', 'Eric Schlumberger', 'Brice Parain', 'Henri Attal', 'Gilles Quéant', 'Odile Geoffroy', 'Marcel Charton', 'Jack Florency', 'Alfred Adam', 'Mario Botti', 'Gisèle Braunberger', 'Jean Ferrat', 'Jean-Paul Savignac', 'László Szabó', 'Jean-Luc Godard']",4.03,3.0,['Drama'],84,['France'],French,['French'],Twelve episodic tales in the life of a Parisian woman and her slow descent into prostitution.,"['Pathé Consortium Cinéma', 'Les Films de la Pléiade']",167815,66022,57645,3600,225,379,439,1863,2871,12285,18539,38939,17223,21370,114133,https://letterboxd.com/film/vivre-sa-vie/
Band of Outsiders,nan,Jean-Luc Godard,"['Anna Karina', 'Claude Brasseur', 'Sami Frey', 'Danièle Girard', 'Louisa Colpeyn', 'Chantal Darget', 'Georges Staquet', 'Ernest Menzer', 'Jean-Claude Rémoleux', 'Michel Delahaye', 'Louis Jojot', 'Claude Makovski', 'Michèle Seghers', 'Jean-Luc Godard']",3.91,nan,"['Crime', 'Comedy', 'Drama']",97,['France'],French,"['French', 'English']","Cinephile slackers Franz and Arthur spend their days mimicking the antiheroes of Hollywood noirs and Westerns while pursuing the lovely Odile. The misfit trio upends convention at every turn, be it through choreographed dances in cafés or frolicsome romps through the Louvre. Eventually, their romantic view of outlaws pushes them to plan their own heist, but their inexperience may send them out in a blaze of glory -- which could be just what they want.","['Orsay Films', 'Anouchka Films']",87040,35774,24156,644,78,212,302,1186,1945,7169,11233,18405,7330,7213,55073,https://letterboxd.com/film/band-of-outsiders/
Goodbye to Language,nan,Jean-Luc Godard,"['Jessica Erickson', 'Héloïse Godet', 'Zoé Bruneau', 'Kamel Abdeli', 'Richard Chevallier', 'Alexandre Païta', 'Christian Gregori', 'Marie Ruchat', 'Jeremy Zampatti', 'Jean-Luc Godard']",3.39,nan,['Drama'],70,"['France', 'Switzerland']",French,"['French', 'English']","The idea is simple / A married woman and a single man meet / They love, they argue, fists fly / A dog strays between town and country / The seasons pass / The man and woman meet again / The dog finds itself between them / The other is in one, / the one is in the other / and they are three / The former husband shatters everything / A second film begins: / the same as the first, / and yet not / From the human race we pass to metaphor / This ends in barking / and a baby's cries / In the meantime, we will have seen people talking of the demise of the dollar, of truth in mathematics and of the death of a robin."" - JLG",['Wild Bunch'],26318,13946,5467,119,533,729,508,1263,1205,2657,2117,3107,1378,2008,15505,https://letterboxd.com/film/goodbye-to-language/
Weekend,nan,Jean-Luc Godard,"['Mireille Darc', 'Jean Yanne', 'Jean-Pierre Kalfon', 'Yves Afonso', 'Yves Beneyton', 'Juliet Berto', 'Michèle Breton', 'Michel Cournot', 'Lex De Bruijn', 'Omar Diop', 'Jean Eustache', 'Jean-Claude Guilbert', 'Paul Gégauff', 'Blandine Jeanson', 'Louis Jojot', 'Valérie Lagrange', 'Jean-Pierre Léaud', 'Ernest Menzer', 'Daniel Pommereulle', 'Isabelle Pons', 'Helen Scott', 'Georges Staquet', 'László Szabó', 'Virginie Vignon', 'Anne Wiazemsky']",3.74,nan,"['Comedy', 'Crime']",104,"['France', 'Italy']",French,['French'],"A supposedly idyllic weekend trip to the countryside turns into a never-ending nightmare of traffic jams, revolution, cannibalism and murder as French bourgeois society starts to collapse under the weight of its own consumer preoccupations.","['Cinecidi', 'Comacico', 'Les Films Copernic', 'Lira Films']",47690,30571,11908,355,350,533,524,1433,1610,4150,4870,7846,3812,4375,29503,https://letterboxd.com/film/weekend-1967/
A Woman Is a Woman,nan,Jean-Luc Godard,"['Jean-Claude Brialy', 'Anna Karina', 'Jean-Paul Belmondo', 'Henri Attal', 'Karyn Balm', 'Dorothée Blanck', 'Catherine Demongeot', 'Marie Dubois', 'Ernest Menzer', 'Jeanne Moreau', 'Nicole Paquin', 'Gisèle Sandré', 'Marion Sarraut', 'Dominique Zardi']",3.89,nan,"['Romance', 'Comedy', 'Drama']",83,"['France', 'Italy']",French,['French'],"Longing for a baby, a stripper pursues another man in order to make her boyfriend jealous.","['Euro International Films', 'Rome-Paris Films']",85014,31697,27864,1300,143,312,343,1353,1947,7458,11008,18896,7335,8391,57186,https://letterboxd.com/film/a-woman-is-a-woman/
Made in U.S.A,nan,Jean-Luc Godard,"['Anna Karina', 'László Szabó', 'Jean-Pierre Léaud', 'Marianne Faithfull', 'Yves Afonso', 'Claude Bakka', 'Daniel Bart', 'Jean-Pierre Biesse', 'Jean-Claude Bouillon', 'Fernand Coquet', 'Marc Dudicourt', 'Rémo Forlani', 'Eliane Giovagnoli', 'Jean-Luc Godard', 'Sylvain Godet', 'Anne Guegan', 'Kyôko Kosaka', 'Philippe Labro', 'Rita Maiden', 'Ernest Menzer', 'Miguel', 'Jean-Philippe Nierman', 'Danielle Palmero', 'Marika Perioli', 'Alexis Poliakoff', 'Isabelle Pons', 'Philippe Pouzenc', 'Roger Scipion']",3.29,nan,"['Mystery', 'Comedy', 'Crime']",85,['France'],French,"['French', 'English']","Paula Nelson goes to Atlantic City to meet her lover, Richard Politzer, but finds him dead and decides to investigate his death. In her hotel room, she meets Typhus, whom she ends up knocking out. His corpse is later found in the apartment of David Goodis, a writer. Paula is arrested and interrogated. From then on, she encounters many gangsters.","['S.E.P.I.C.', 'Rome-Paris Films', 'Anouchka Films']",19216,9553,3315,19,92,220,258,912,1344,3392,2462,1967,432,546,11625,https://letterboxd.com/film/made-in-usa/
2 or 3 Things I Know About Her,nan,Jean-Luc Godard,"['Marina Vlady', 'Jean-Luc Godard', 'Anny Duperey', 'Roger Montsoret', 'Raoul Lévy', 'Jean Narboni', 'Yves Beneyton', 'Juliet Berto', 'Helena Bielicic', 'Christophe Bourseiller', 'Marie Bourseiller', 'Marie Cardinal', 'Robert Chevassu', 'Joseph Gehrard', 'Blandine Jeanson', 'Benjamin Jules-Rosette', 'Jean-Pierre Laverne', 'Jean-Patrick Lebel', 'Anna Manga', 'Claude Miller', 'Helen Scott', 'Hélène Scott']",3.49,nan,"['Drama', 'Comedy']",87,['France'],French,"['French', 'English']","As the city of Paris and the French people grow in consumer culture, a housewife living in a high-rise apartment with her husband and two children takes to prostitution to help pay the bills.","['Argos films', 'Anouchka Films', 'Les Films du Carrosse', 'Parc Film']",35945,19760,7869,187,202,402,425,1365,1921,4937,4698,5228,1808,1950,22936,https://letterboxd.com/film/2-or-3-things-i-know-about-her/
La Chinoise,nan,Jean-Luc Godard,"['Anne Wiazemsky', 'Jean-Pierre Léaud', 'Juliet Berto', 'Michel Semeniako', 'Lex De Bruijn', 'Omar Diop', 'Francis Jeanson', 'Blandine Jeanson', 'Eliane Giovagnoli', 'Charles L. Bitsch', 'Raoul Coutard', 'René Levert']",3.74,nan,"['Comedy', 'Drama']",99,['France'],French,['French'],"Paris, 1967. Disillusioned by their suburban lifestyles, a group of middle-class students, led by Guillaume and Veronique, form a small Maoist cell and plan to change the world by any means necessary. After studying the growth of communism in China, the students decide they must use terrorism and violence to ignite their own revolution. Director Jean-Luc Godard, whose advocacy of Maoism bordered on intoxication, infuriated many traditionalist critics with this swiftly paced satire.","['Anouchka Films', 'Les Productions de la Guéville', 'Athos Films', 'Parc Film', 'Simar Films']",64083,21561,18831,1100,227,485,449,1601,2050,6535,8098,12343,4404,5605,41797,https://letterboxd.com/film/la-chinoise/
The Carabineers,nan,Jean-Luc Godard,"['Marino Masé', 'Patrice Moullet', 'Geneviève Galéa', 'Catherine Ribeiro', 'Barbet Schroeder', 'Jean-Louis Comolli', 'Gérard Poirot', 'Jean Brassat', 'Alvaro Gheri', 'Odile Geoffroy', 'Pascale Audret', 'Roger Coggio', 'Catherine Durante', 'Wladimir Faters', 'Jean Gruault', 'Jean Monsigny', 'Gilbert Servien']",3.44,nan,"['War', 'Drama', 'Comedy']",80,"['France', 'Italy']",French,['French'],"During a war in an imaginary country, unscrupulous soldiers recruit poor farmers with promises of an easy and happy life. Two of these farmers write to their wives of their exploits.","['Rome-Paris Films', 'Cocinor', 'Les Films Marceau', 'Laetitia Film']",8501,4388,1499,8,23,62,100,339,478,1436,1350,1089,283,221,5381,https://letterboxd.com/film/the-carabineers/
Aria,nan,"Nicolas Roeg, Charles Sturridge","['John Hurt', 'Theresa Russell', 'Sophie Ward', 'Buck Henry', ""Beverly D'Angelo"", 'Anita Morris', 'Gary Kasper', 'Elizabeth Hurley', 'Peter Birch', 'Bridget Fonda', 'James Mathers', 'Tilda Swinton', 'Stephanie Lane', 'Roy Hyatt', 'Sevilla Delofski', 'Ruth Halliday', 'Arthur Cox', 'Dennis Holmes', 'Paul Brightwell', 'Frank Baker', 'Christopher Hunter', 'Nicola Swain', 'Jackson Kyle', 'Marianne McLoughlin', 'Marion Peterson', 'Valérie Allain', 'Jaques Neuville', 'Luke Corre', 'Christiam Cauchon', 'Philippe Pellant', 'Patrice Linguet', 'Lionel Sorin', 'Jean Coffinet', 'Alexandre Des Granges', 'Gérard Vivès', 'Frederick Brosse', 'Pascal Bermont', 'Jean Luc Corre', 'Bernard Gaudray', 'Dominique Mano', 'Patrice Tridian', 'John Hostetter', 'Albie Selznick', 'Stan Mazin', 'Dominic Salinero', 'Jeff Calhoun', 'Angie Tetamontie', 'Esther Buchanan', 'Lorraine Cote', 'Renee Korn', 'Bertha Weiss', 'Dyanne Thorne', 'Howie Maurer', 'Derick Coleman', 'Quentin Brown', 'Linzi Drew', 'Andreas Wisniewski', 'Kwabena Manso', 'Bella Enahoro', 'Bunty Mathias', 'Angela Walker', 'Amy Johnson', 'Spencer Leigh']",3.12,nan,"['Drama', 'Comedy', 'Music']",97,"['UK', 'USA']",English,"['English', 'French', 'German', 'Italian']","Ten short pieces directed by ten different directors, including Ken Russell, Jean-Luc Godard, Robert Altman, Bruce Beresford, and Nicolas Roeg. Each short uses an aria as soundtrack/sound, and is an interpretation of the particular aria.","['Lightyear Entertainment', 'R.V.P. Productions', 'Virgin Vision']",4360,3895,683,8,24,90,73,275,431,725,378,305,65,96,2462,https://letterboxd.com/film/aria/
The Godfather,nan,Francis Ford Coppola,"['Marlon Brando', 'Al Pacino', 'James Caan', 'Robert Duvall', 'Richard S. Castellano', 'Diane Keaton', 'Talia Shire', 'Gianni Russo', 'Sterling Hayden', 'John Marley', 'Richard Conte', 'Al Lettieri', 'Abe Vigoda', 'John Cazale', 'Rudy Bond', 'Al Martino', 'Morgana King', 'Lenny Montana', 'John Martino', 'Salvatore Corsitto', 'Richard Bright', 'Alex Rocco', 'Tony Giorgio', 'Vito Scotti', 'Tere Livrano', 'Victor Rendina', 'Jeannie Linero', 'Julie Gregg', 'Ardell Sheridan', 'Simonetta Stefanelli', 'Angelo Infanti', 'Corrado Gaipa', 'Franco Citti', 'Saro Urzì', 'Roman Coppola', 'Sofia Coppola', 'Don Costello', 'Italia Coppola', 'Gray Frederickson', 'Ron Gilbert', 'Sonny Grosso', 'Louis Guss', 'Randy Jurgensen', 'Tony King', 'Tony Lip', 'Joe Lo Grippo', 'Lou Martini Jr.', 'Raymond Martino', 'Joseph Medaglia', 'Carol Morley', 'Rick Petrucelli', 'Sal Richards', 'Tom Rosqui', 'Frank Sivero', 'Filomena Spagnuolo', 'Joe Spinell', 'Gabriele Torrei', 'Nick Vallelonga', 'Conrad Yama']",4.54,5.0,"['Crime', 'Drama']",175,['USA'],English,"['English', 'Latin', 'Italian']","Spanning the years 1945 to 1955, a chronicle of the fictional Italian-American Corleone crime family. When organized crime family patriarch, Vito Corleone barely survives an attempt on his life, his youngest son, Michael steps in to take care of the would-be killers, launching a campaign of bloody revenge.","['Paramount Pictures', 'Alfran Productions']",2701868,429936,1073044,89000,5323,7848,3067,17605,12700,78253,79502,345228,288498,980476,1818500,https://letterboxd.com/film/the-godfather/
Scarface,nan,Brian De Palma,"['Al Pacino', 'Steven Bauer', 'Michelle Pfeiffer', 'Mary Elizabeth Mastrantonio', 'Robert Loggia', 'Miriam Colon', 'F. Murray Abraham', 'Paul Shenar', 'Harris Yulin', 'Ángel Salazar', 'Arnaldo Santana', 'Pepe Serna', 'Michael P. Moran', 'Al Israel', 'Dennis Holahan', 'Mark Margolis', 'Michael Alldredge', 'Ted Beniades', 'Richard Belzer', 'Paul Espel', 'John Brandon', 'Tony Perez', 'Garnett Smith', 'Loren Almaguer', 'Gil Barreto', 'Heather Benna', 'Sue Bowser', 'Tina Leigh Cameron', 'Victor Campos', 'Robert Hammer Cannerday', 'Rene Carrasco', 'Albert Carrier', 'John Carter', 'Richard Caselnova', 'Gary Carlos Cervantes', 'Carlos Augusto Cestero', 'Johnny Contardo', 'Roberto Contreras', 'Caesar Cordova', 'Gregory Cruz', ""Dante D'Andre"", 'Richard Delmonte', 'Wayne Doba', 'Michel François', 'Ben Frommer', 'Edward R. Frommer', 'John Gamble', 'Troy Isaacs', 'Ronald G. Joseph', 'Mario Machado', 'Joe Marmo', 'Ray Martel', 'John McCann', 'Richard Mendez', 'Victor Millan', 'Santos Morales', 'Mike Moroff', 'Angela Nisi', 'Manuel Padilla Jr.', 'Tony Pann', 'Ilka Tanya Payán', 'Barbra Perez', 'Michael Rougas', 'Anthony Saenz', 'Geno Silva', 'Arnold Tafolla', 'Charles A. Tamburro', 'Jim Towers', 'Robert Vandenberg', 'Bob Yanez', 'Angela Aames', 'Nancy Lee Andrews', 'Dona Baldwin', 'Lee Benton', 'Cynthia Burr', 'Lana Clarkson', 'Karen Criswell', 'Margo Kelly', 'Ava Lazar', 'Emilia Crow', 'Marii Mak', 'Shelley Taylor Morgan', 'Catharine Richardson', 'Pat Simmons', 'Terri Taylor', 'Charlie Adiano', 'Lisa Katz', 'Jeanette Linne', 'Margaret Michaels', 'Rhonda Sandberg', 'Katt Shea', 'Marcia Wolf', 'Barclay DeVeau', 'Charles Durning', 'Dennis Franz', 'Linda Gillen', 'Gregg Henry', 'Kevyn Major Howard', 'Henry Kingi', 'Brett Ratner', 'Marcus Shirock', 'Maxine Wasa', 'Tammy Lynn Leppert']",4.13,4.5,"['Drama', 'Crime', 'Action']",169,['USA'],English,"['English', 'Spanish']","After getting a green card in exchange for assassinating a Cuban government official, Tony Montana stakes a claim on the drug trade in Miami. Viciously murdering anyone who stands in his way, Tony eventually becomes the biggest drug lord in the state, controlling nearly all the cocaine that comes through Miami. But increased pressure from the police, wars with Colombian drug cartels and his own drug-fueled paranoia serve to fuel the flames of his eventual downfall.","['Universal Pictures', 'Martin Bregman Productions']",1529173,206260,494070,34000,1385,3673,2800,15913,18373,88860,122318,326024,168814,263229,1011389,https://letterboxd.com/film/scarface-1983/
Ocean's Thirteen,nan,Steven Soderbergh,"['George Clooney', 'Brad Pitt', 'Matt Damon', 'Andy García', 'Don Cheadle', 'Bernie Mac', 'Ellen Barkin', 'Al Pacino', 'Casey Affleck', 'Scott Caan', 'Eddie Jemison', 'Shaobo Qin', 'Carl Reiner', 'Elliott Gould', 'Eddie Izzard', 'Vincent Cassel', 'Bob Einstein', 'Olga Sosnovska', 'David Paymer', 'Angel Oquendo', 'Jerry Weintraub', 'Julian Sands', 'Michael Mantell', 'Ray Xifo', 'Soledad St. Hilaire', 'Adam Lazarre-White', 'Maggie Rowe', 'Kris Kane', 'Luis Chávez', 'Ivar Brogger', 'Alex Procopio', 'Armen Weitzman', 'Steven Lambert', 'Noureen DeWulf', 'Don McManus', 'Jon Wellner', 'Mesan Richardson', 'Adrian Neil', 'Michael Miranda', 'Oprah Winfrey', 'Bernie Yuman', 'Wayne Pére', 'Joe Chrest', 'Tim Conlon', 'Moira Squier', 'Steve Hai', 'Michi Yamato', 'Bayanbat Davaadalai', 'Ulambayaryn Byambajav', 'Ren Urano', 'Musashimaru', 'Akebono Tarō', 'Michael Harney', 'James DuMont', 'Doug Purcell', 'Ashlee Vingle', 'Andrea Tiede', 'Austin Priester', 'Margaret Travolta', 'Jacquie Barnbrook', 'Tommy Hinkley', 'Matt Duggan', 'Adam Kaiz', 'Kasey Mahaffy', 'Nick Puga', 'Paull Walia', 'Mike Meldman', 'Scott L. Schwartz', 'Jorge Luis Abreu', 'Diana Donaldson', 'Shae Wilson', 'Kari Hawker-Diaz', 'Amber Hay', 'Nancy Stelle', 'Bonnie Joy Ashley', 'Yuki Bird', 'Paul X. Campanella', 'Nicole Chauvet', 'Jaden Christopher', 'Natalie Cohen', 'Gregor Collins', 'Rachel Ann Courtney', 'Jeffrey Crisp', 'Mark Casimir Dyniewicz Jr.', 'Jason Anthony Fisher', 'Gillian Foreman', 'Leslie Garza', 'James Markham Hall Jr.', 'Lanette Fugit Hannah', 'Ty Izquierdo', 'Shane Warren Jones', 'Christopher Jude', 'Dan Kalbfleisch', 'James Martin Kelly', 'Matt Kohler', 'Sean R. Lake', 'Jonathan Lane', 'Julio Leal', 'Pui Fan Lee', 'Lauchlin MacDonald', 'Tucker Maloney', 'John C. McDonnell', 'Jenny Morgan', 'Cristina Nardozzi', 'Robert Neilson', 'Dalila Orozco', 'Sarah Ospina', 'Evelina Pereira', 'Maury Rogow', 'Ankit Shah', 'Lina So', 'Johnny Soto', 'Rose Day Stuart', 'Joseph Sun', 'Alexana Thomas', 'Tyler Tuione', 'Mike Zent']",3.38,nan,"['Crime', 'Thriller']",122,['USA'],English,"['English', 'Spanish', 'French']","Danny Ocean's team of criminals are back and composing a plan more personal than ever. When ruthless casino owner Willy Bank doublecrosses Reuben Tishkoff, causing a heart attack, Danny Ocean vows that he and his team will do anything to bring down Willy Bank along with everything he's got. Even if it means asking for help from an enemy.","['Warner Bros. Pictures', 'Village Roadshow Pictures', 'Jerry Weintraub Productions', 'Section Eight']",534906,45468,82775,467,785,2587,2909,15210,23345,82226,69579,57022,11330,14892,279885,https://letterboxd.com/film/oceans-thirteen/
The Insider,nan,Michael Mann,"['Al Pacino', 'Russell Crowe', 'Christopher Plummer', 'Diane Venora', 'Philip Baker Hall', 'Lindsay Crouse', 'Debi Mazar', 'Stephen Tobolowsky', 'Colm Feore', 'Bruce McGill', 'Gina Gershon', 'Michael Gambon', 'Rip Torn', 'Lynne Thigpen', 'Hallie Eisenberg', 'Michael Paul Chan', 'Linda Hart', 'Robert Harper', 'Nestor Serrano', 'Pete Hamill', 'Wings Hauser', 'Cliff Curtis', 'Renee Olstead', 'Michael Moore', 'Gary Sandy', 'Willie C. Carpenter', 'Paul Butler', 'Jack Palladino', 'Megan Odebash', 'Roger Bart', 'Alan Desatti', 'Sayed Badreya', 'Chris Ufland', 'Douglas McGrath', 'Bill Sage', 'Joseph Hindy', 'Dennis Garber', 'Tim Grimm', 'Paul Perri', 'Wanda De Jesus', 'Robert Patrick Brink', 'Vincent Foster', 'James Harper', 'Eyal Podell', 'Breckin Meyer', 'David Roberson', 'Gregg E. Muravchick', 'William P. Bradford', 'David Clyde Carr', 'Ann Reskin', 'Claire Slemmer', 'Steve Salge', 'Derrick Jones', 'Donald F. Burbrink', 'Vyto Ruginis', 'George R. Parsons', 'Isodine Loury', 'Charlene Bosarge', 'Saemi Nakamura', 'Ronal G. Yokley', 'Bob Lazarus', 'Robert J. Ragno Jr.', 'Alvin L. Welch', 'Nathan Lewis Hill', 'Paula Bisbikos', 'Christi Evans', 'Knox White', 'Amy L. Caudill', 'Cara Briese', 'Phil Hawn', 'Spencer Kayden', 'Zane Lamprey', 'Don Langley', 'Clyde Lee', 'Robert D. Parham', 'Roger Phenix', 'Scott Ritcher', 'Brian Canberg', 'J.B. Flinn', 'Tom Jones', 'Ted Speaker', 'Robbie G. Tomlin', 'Susan Wagner']",4.08,nan,"['Drama', 'Thriller']",158,['USA'],English,"['English', 'Arabic', 'Japanese', 'Persian (Farsi)']",A research chemist comes under personal and professional attack when he decides to appear in a 60 Minutes exposé on Big Tobacco.,"['Touchstone Pictures', 'Mann/Roth Productions', 'Forward Pass']",144763,49604,38352,645,86,226,228,1265,2120,9605,16699,34898,19493,14316,98936,https://letterboxd.com/film/the-insider/
Glengarry Glen Ross,nan,James Foley,"['Al Pacino', 'Jack Lemmon', 'Alec Baldwin', 'Alan Arkin', 'Ed Harris', 'Kevin Spacey', 'Jonathan Pryce', 'Bruce Altman', 'Jude Ciccolella', 'Paul Butler', 'Lori Tan Chinn', 'Neal Jones', 'Barry Rohrssen', 'Leigh French', 'George Cheung', 'Murphy Dunne', 'Dana Lee', 'Julie Payne', 'Gregory Snegoff', 'Skipp Lynch']",3.93,nan,"['Mystery', 'Drama', 'Crime']",100,['USA'],English,['English'],"When an office full of real estate salesmen is given the news that all but the top two will be fired at the end of the week, the atmosphere begins to heat up. Shelley Levene, who has a sick daughter, does everything in his power to get better leads from his boss, John Williamson, but to no avail. When his coworker Dave Moss comes up with a plan to steal the leads, things get complicated for the tough-talking salesmen.","['Zupnik Cinema Group II', 'New Line Cinema', 'GGR', 'Zupnik-Curtis Enterprises']",164240,38719,42302,757,182,512,500,2300,3225,12964,21853,40858,16640,12497,111531,https://letterboxd.com/film/glengarry-glen-ross/
Scent of a Woman,nan,Martin Brest,"['Al Pacino', ""Chris O'Donnell"", 'James Rebhorn', 'Gabrielle Anwar', 'Philip Seymour Hoffman', 'Richard Venture', 'Bradley Whitford', 'Ron Eldard', 'Rochelle Oliver', 'Margaret Eginton', 'Tom Riis Farrell', 'Nicholas Sadler', 'Todd Louiso', 'Matt Smith', 'Gene Canfield', 'Frances Conroy', 'June Squibb', 'Sally Murphy', 'Michael Santoro', 'Anh Duong', 'Leonard Gaines', 'David Lansbury', 'Baxter Harris', 'Francie Swift', 'Michael Simon', 'Mansoor Najee-Ullah', 'Peter Carew', 'Paul Stocker', 'Divina Cook', 'William Beckwith', 'Dan Gifford', 'Jack Mulcahy', 'Joseph Palmas', 'J.T. Cromwell', 'Mike Lisenco', 'Russell Gibson', 'Carlo Giuliano', 'George Grafas', 'Luke L. Hansen', 'Eric Reid Schroeder', 'Lucy Smith', 'Paul Zimmerman', ""Stephen L'Heureux"", 'Alyson Feldman', 'Erika Feldman', 'Julian Stein', 'Max Stein']",3.9,nan,"['Drama', 'Comedy']",156,['USA'],English,['English'],"Charlie Simms is a student at a private preparatory school who comes from a poor family. To earn the money for his flight home to Gresham, Oregon for Christmas, Charlie takes a job over Thanksgiving looking after retired U.S. Army officer Lieutenant Colonel Frank Slade, a cantankerous middle-aged man who lives with his niece and her family.","['Universal Pictures', 'City Light Films']",392566,57812,117980,9400,438,1273,1501,6603,8381,29657,42060,82230,38653,59393,270189,https://letterboxd.com/film/scent-of-a-woman/
Donnie Brasco,nan,Mike Newell,"['Johnny Depp', 'Al Pacino', 'Michael Madsen', 'Bruno Kirby', 'James Russo', 'Anne Heche', 'Zeljko Ivanek', 'Brian Tarantina', 'Rocco Sisto', 'Zach Grenier', 'Gerry Becker', 'Robert Miano', 'Paul Giamatti', 'Gretchen Mol', 'Tim Blake Nelson', 'Walt MacPherson', 'Ronnie Farer', 'Terry Serpico', 'Tony Lip', 'George Angelica', 'Val Avery', 'Madison Arnold', 'Delanie Fitzpatrick', 'Katie Sagona', 'Sara Gold', 'Larry Romano', 'James McCauley', 'James Bulleit', 'Andrew Parks', 'Keenan Shimizu', 'Rocco Musacchia', 'Joe Francis', 'Sal Jenco', 'Billy Capucilli', 'Laura Cahill', 'Doreen Murphy', 'Denise Faye', 'Elaine del Valle', 'John Horton', 'Dan Brennan', 'LaJuan Carter', 'Sandy Barber', 'Joyce Stovall', 'Frank Pesce', 'Randy Jurgensen', 'John Di Benedetto', 'Richard Zavaglia', 'Tony Ray Rossi', 'Edward Black', 'Gaetano LoGiudice', 'Carmelo Musacchia', 'Pat Vecchio', 'Caleb', 'Flint Beverage', 'Frank Bonsangue', 'Mark Todd Bruner', 'Teresa Giudice', 'Barry Hirschberg', 'Jim Lavin', ""Peter O'Hara"", 'Antone Pagán', 'Garry Pastore', 'Dale Resteghini', 'Larry Tobias', 'Elle Alexander', 'Frankie Cee']",3.79,nan,"['Crime', 'Drama', 'Thriller']",147,['USA'],English,"['English', 'Japanese', 'Italian']",An FBI undercover agent infiltrates the mob and identifies more with the mafia life at the expense of his regular one.,"['Phoenix Pictures', 'Mark Johnson Productions', 'Baltimore Pictures', 'TriStar Pictures', 'Mandalay Pictures']",297724,40896,68395,1100,146,459,588,3204,6152,30041,53113,75204,19206,14442,202555,https://letterboxd.com/film/donnie-brasco/
